nama,ieee,sinta,scopus,wos,garuda,orchid,idscholar,urlscholar
"Prof. Dr. Ir. Sasongko Pramonohadi, DEA.",,6019394,53263983500,GWR-3064-2022,2374280,"https://orcid.org/0000-0001-6268-9040
",SXZZgLMAAAAJ,https://scholar.google.co.id/citations?user=SXZZgLMAAAAJ&hl=en
"Prof. Ir. P. Insap Santosa, M.Sc., Ph.D., IPU.",98297871,6010192,9636895500,I-3494-2019,370690,"https://orcid.org/0000-0002-0581-2521
",SVLRclcAAAAJ,https://scholar.google.co.id/citations?user=SVLRclcAAAAJ&hl=en
"Ir. Wahyu Dewanto, M.T.",,6019805,57566905800,-,2885094,-,yGMgmxIAAAAJ,https://scholar.google.com/citations?user=yGMgmxIAAAAJ&hl=en&oi=ao
"Prof. Ir. Tumiran, M.Eng., Ph.D., IPU.",,6038838,24279155800,GON-6154-2022,205882,https://orcid.org/0000-0002-4063-3203,Q39ugpYAAAAJ,https://scholar.google.co.id/citations?user=Q39ugpYAAAAJ&hl=en
"Ir. Sujoko Sumaryono, M.T.",,6019192,57194161883,-,2453553,-,lUiJUKEAAAAJ,https://scholar.google.com/citations?user=lUiJUKEAAAAJ&hl=en&oi=ao
"Ir. Bambang Sugiyantoro, M.T.",,6019224,57205058764,-,3917817,-,lLWH6IcAAAAJ,https://scholar.google.com/citations?hl=en&user=lLWH6IcAAAAJ
"Dr. Ir. Rudy Hartanto, M.T., IPM.",,6018498,57213689477,GOP-1585-2022,276773,-,xWZoltAAAAAJ,https://scholar.google.co.id/citations?user=xWZoltAAAAAJ&hl=en
"Prof. Ir. Lukito Edi Nugroho, M.Sc., Ph.D.",,6019356,6507794445,GPX-9060-2022,6288599,,Fx312yQAAAAJ,https://scholar.google.co.id/citations?user=Fx312yQAAAAJ&hl=en
"Dr. Ir. M. Isnaeni BS, M.T.",,6019186,56516959400,-,207692,-,bbLyOsgAAAAJ,https://scholar.google.com/citations?hl=en&user=bbLyOsgAAAAJ
"Prof. Dr. Ir. Risanuri Hidayat, M.Sc., IPM.",90632775,6019191,24723916400,GWR-2712-2022,281629,https://orcid.org/0000-0002-7381-4633,f4TOpqsAAAAJ,https://scholar.google.com/citations?hl=en&user=f4TOpqsAAAAJ
"Prof. Ir. Oyas Wahyunggoro, M.T., Ph.D.",93708689,6010292,25825877400,AGW-7996-2022,411173,-,HYFYmwsAAAAJ,https://scholar.google.co.id/citations?user=HYFYmwsAAAAJ&hl=en
"Teguh Bharata Adji, S.T., M.T., M.Eng., Ph.D.",,5972729,24734043700,GVT-8749-2022,220041,-,IqG9z-8AAAAJ,https://scholar.google.com/citations?hl=en&user=IqG9z-8AAAAJ
"Prof. Dr. Ir. Sri Suning Kusumawardani, S.T., M.T.",98531066,5985413,36809779800,AGE-7426-2022,303344,"https://orcid.org/0000-0003-1705-3232
",D3VL7RsAAAAJ,https://scholar.google.com/citations?hl=en&user=D3VL7RsAAAAJ
"Dr.Eng. Silmi Fauziati, S.T., M.T.",,6019179,56596753400,-,264977,-,YBpC3pwAAAAJ,https://scholar.google.com/citations?hl=en&user=YBpC3pwAAAAJ
"Prof. Ir. Selo, S.T., M.T., M.Sc., Ph.D., IPU, ASEAN Eng.",93260786,6010111,35106220200,AAW-4238-2020,508857,"https://orcid.org/0000-0002-0427-6421
",7FZZ_-sAAAAJ,https://scholar.google.co.id/citations?user=7FZZ_-sAAAAJ&hl=en
"Prof. Dr.Eng. Ir. F. Danang Wijaya, S.T., M.T., IPM.",,5999249,57193707676,GOV-3806-2022,2391719,"https://orcid.org/0000-0001-8887-6135
",fS4-8JAAAAAJ,https://scholar.google.co.id/citations?user=fS4-8JAAAAAJ&hl=en
"Warsun Najib, S.T., M.Sc.",,6010169,54420821900,GLV-2846-2022,327840,"https://orcid.org/0000-0003-4454-335X
",dsORxFMAAAAJ,https://scholar.google.co.id/citations?user=dsORxFMAAAAJ&hl=en
"Ir. Addin Suwastono, S.T., M.Eng., IPM.",,6019193,56516977600,-,4066978,-,TNZgnM8AAAAJ,https://scholar.google.co.id/citations?user=TNZgnM8AAAAJ&hl=en
"Prof. Ir. Sarjiya, S.T., M.T., Ph.D., IPU.",,6002168,25031712200,AAO-9287-2020,2374281,https://orcid.org/0000-0002-3025-295X,bLAJodcAAAAJ,https://scholar.google.com/citations?hl=en&user=bLAJodcAAAAJ
"Dani Adhipta, S.Si., M.T.",,6019026,36607451900,-,640998,-,PUg2AeYAAAAJ,https://scholar.google.co.id/citations?user=PUg2AeYAAAAJ&hl=en
"Widyawan, S.T., M.Sc., Ph.D.",,43049,55666627500,-,2381413,-,uPZ616oAAAAJ,https://scholar.google.co.id/citations?user=uPZ616oAAAAJ&hl=en
"Ir. Eka Firmansyah, S.T., M.Eng., Ph.D., IPM.",90389912,5985277,34978345200,GLS-4421-2022,266504,-,y2AOfwQAAAAJ,https://scholar.google.co.id/citations?user=y2AOfwQAAAAJ&hl=en
"Prof. Ir. Hanung Adi Nugroho, S.T., M.E., Ph.D., IPM., SMIEEE.",92605390,6008762,57210591699,J-4205-2019,333299,"https://orcid.org/0000-0001-7749-8044
",UTBq0lsAAAAJ,https://scholar.google.co.id/citations?user=UTBq0lsAAAAJ&hl=en
"Dr. Indriana Hidayah, S.T., M.T.",93917462,44341,55430202100,-,2453157,"https://orcid.org/0000-0003-4044-4987
",Kwu5gpIAAAAJ,https://scholar.google.co.id/citations?user=Kwu5gpIAAAAJ&hl=en
"Dr. Bimo Sunarfri Hantono, S.T., M.Eng.",92745409,6010084,56121493400,-,274797,-,omBzmOkAAAAJ,https://scholar.google.com/citations?hl=en&user=omBzmOkAAAAJ
"M. Nur Rizal, S.T., M.Eng., Ph.D.",,6019753,55553742689,-,1795453,-,ntnGlecAAAAJ,https://scholar.google.co.id/citations?user=ntnGlecAAAAJ&hl=en
"Harry Prabowo, S.T., M.T.",,6019210,57190533670,-,-,https://orcid.org/0000-0002-8398-3529,N5cE-DUAAAAJ,https://scholar.google.co.id/citations?user=N5cE-DUAAAAJ&hl=en
"Ir. Avrin Nur Widiastuti, S.T., M.Eng., IPM.",96900811,6010067,56429469800,-,4067136,-,K3i-Yv0AAAAJ,https://scholar.google.com/citations?hl=en&user=K3i-Yv0AAAAJ
"Dr. Indah Soesanti, S.T., M.T.",,42982,55963326800,GOP-2501-2022,2454292,"https://orcid.org/0000-0003-2004-0600
",Mn3jtVgAAAAJ,https://scholar.google.co.id/citations?user=Mn3jtVgAAAAJ&hl=en
"Ir. Adhistya Erna Permanasari, S.T., M.T., Ph.D., IPM.",,257869,25825391000,I-9757-2019,3027455,"https://orcid.org/0000-0002-2663-4074
",cF2rHw4AAAAJ,https://scholar.google.co.id/citations?user=cF2rHw4AAAAJ&hl=en
"Ir. Noor Akhmad Setiawan, S.T., M.T., Ph.D., IPM.",92200406,43050,57215833019,C-3262-2019,2459804,"https://orcid.org/0000-0002-5631-1073

",dvwTk_IAAAAJ,https://scholar.google.co.id/citations?user=dvwTk_IAAAAJ&hl=en
"Rr. Eny Sukani Rahayu, S.T., M.Eng.",,6022328,57195683054,JKJ-4859-2023,4067168,-,bgAPubsAAAAJ&hl,https://scholar.google.com/citations?user=bgAPubsAAAAJ&hl=id
"Prof. Dr. Ir. Ridi Ferdiana, S.T., M.T., IPM.",,44333,49663102500,AAW-4160-2020,265752,-,6JpHP3wAAAAJ,https://scholar.google.co.id/citations?user=RF0czQwAAAAJ&hl=en
