lecturer_row_ref,h_index,total_citations,sinta_score,source
dosen_source.csv:46,7,164,,OPENALEX
dosen_source.csv:33,1,1,,SEMANTIC_SCHOLAR
dosen_source.csv:51,12,1034,,OPENALEX
dosen_source.csv:7,3,28,,OPENALEX
dosen_source.csv:56,9,351,,OPENALEX
dosen_source.csv:57,6,147,,OPENALEX
dosen_source.csv:63,6,70,,OPENALEX
dosen_source.csv:62,4,97,,OPENALEX
dosen_source.csv:36,7,145,,OPENALEX
dosen_source.csv:50,4,93,,OPENALEX
dosen_source.csv:49,4,31,,OPENALEX
dosen_source.csv:12,19,1561,,OPENALEX
dosen_source.csv:27,6,137,,OPENALEX
dosen_source.csv:38,7,154,,OPENALEX
dosen_source.csv:42,19,1153,,OPENALEX
dosen_source.csv:48,6,320,,OPENALEX
dosen_source.csv:60,3,26,,OPENALEX
dosen_source.csv:19,3,27,,OPENALEX
dosen_source.csv:52,11,371,,OPENALEX
dosen_source.csv:8,19,1323,,OPENALEX
dosen_source.csv:10,2,22,,OPENALEX
dosen_source.csv:6,4,145,,OPENALEX
dosen_source.csv:15,12,543,,OPENALEX
dosen_source.csv:26,8,255,,OPENALEX
dosen_source.csv:40,13,728,,OPENALEX
dosen_source.csv:18,8,261,,OPENALEX
dosen_source.csv:4,6,101,,OPENALEX
dosen_source.csv:34,19,1599,,OPENALEX
dosen_source.csv:23,10,456,,OPENALEX
dosen_source.csv:64,5,114,,OPENALEX
dosen_source.csv:32,17,1752,,OPENALEX
dosen_source.csv:16,12,598,,OPENALEX
dosen_source.csv:3,23,2883,,OPENALEX
dosen_source.csv:14,16,979,,OPENALEX
dosen_source.csv:35,1,32,,OPENALEX
dosen_source.csv:41,3,26,,OPENALEX
dosen_source.csv:54,6,103,,OPENALEX
dosen_source.csv:24,27,3069,,OPENALEX
dosen_source.csv:59,2,10,,OPENALEX
dosen_source.csv:55,10,235,,OPENALEX
dosen_source.csv:44,14,663,,OPENALEX
dosen_source.csv:61,7,119,,OPENALEX
dosen_source.csv:31,22,1985,,OPENALEX
dosen_source.csv:28,1,5,,OPENALEX
dosen_source.csv:45,18,1422,,OPENALEX
dosen_source.csv:58,14,581,,OPENALEX
dosen_source.csv:39,6,143,,OPENALEX
dosen_source.csv:22,22,1894,,OPENALEX
dosen_source.csv:25,13,734,,OPENALEX
dosen_source.csv:47,11,412,,OPENALEX
dosen_source.csv:65,6,93,,OPENALEX
dosen_source.csv:37,19,1400,,OPENALEX
dosen_source.csv:13,19,1692,,OPENALEX
dosen_source.csv:30,19,1318,,OPENALEX
dosen_source.csv:43,3,26,,OPENALEX
dosen_source.csv:17,13,714,,OPENALEX
dosen_source.csv:11,19,1434,,OPENALEX
dosen_source.csv:53,5,144,,OPENALEX
dosen_source.csv:2,13,721,,OPENALEX
dosen_source.csv:9,19,1952,,OPENALEX
dosen_source.csv:5,6,117,,OPENALEX
dosen_source.csv:20,17,1159,,OPENALEX
dosen_source.csv:21,4,78,,OPENALEX
dosen_source.csv:29,3,18,,OPENALEX
