full_name,cluster_slug
Sasongko Pramonohadi,intelligent-systems-data
P. Insap Santosa,humancenteredcomputing-education
Wahyu Dewanto,iot-smartsystem-environtment
Tumiran,intelligent-systems-data
Sujoko Sumaryono,iot-smartsystem-environtment
Bambang Sugiyantoro,intelligent-systems-data
Rudy Hartanto,intelligent-systems-data
Lukito Edi Nugroho,intelligent-systems-data
M. Isnaeni Bs,iot-smartsystem-environtment
Risanuri Hidayat,intelligent-systems-data
Oyas Wahyunggoro,intelligent-systems-data
Teguh Bharata Adji,intelligent-systems-data
Sri Suning Kusumawardani,humancenteredcomputing-education
Silmi Fauziati,intelligent-systems-data
Selo,iot-smartsystem-environtment
F. Danang Wijaya,intelligent-systems-data
Warsun Najib,iot-smartsystem-environtment
Addin Suwastono,iot-smartsystem-environtment
Sarjiya,intelligent-systems-data
Dani Adhipta,networks-security-infrastructure
Widyawan,intelligent-systems-data
Eka Firmansyah,iot-smartsystem-environtment
Hanung Adi Nugroho,intelligent-systems-data
Indriana Hidayah,intelligent-systems-data
Bimo Sunarfri Hantono,intelligent-systems-data
M. Nur Rizal,iot-smartsystem-environtment
Harry Prabowo,iot-smartsystem-environtment
Avrin Nur Widiastuti,intelligent-systems-data
Indah Soesanti,intelligent-systems-data
Adhistya Erna Permanasari,intelligent-systems-data
Noor Akhmad Setiawan,intelligent-systems-data
Ridi Ferdiana,intelligent-systems-data
Enas Dhuhri Kusuma,iot-smartsystem-environtment
Sigit Basuki Wibowo,intelligent-systems-data
Adha Imam Cahyadi,iot-smartsystem-environtment
Iswandi,intelligent-systems-data
Prapto Nugroho,iot-smartsystem-environtment
I Wayan Mustika,networks-security-infrastructure
Yusuf Susilo Wijoyo,intelligent-systems-data
Sunu Wibirama,intelligent-systems-data
Fikri Waskito,intelligent-systems-data
Lesnanto Multa Putranto,intelligent-systems-data
Igi Ardiyanto,intelligent-systems-data
Husni Rois Ali,intelligent-systems-data
Agus Bejo,intelligent-systems-data
Azkario Rizky Pratama,intelligent-systems-data
Anugerah Galang Persada,intelligent-systems-data
Ahmad Nasikun,humancenteredcomputing-education
Dyonisius Dony Ariananda,intelligent-systems-data
Guntur Dharma Putra,networks-security-infrastructure
Muhammad Faris,intelligent-systems-data
Mochammad Wahyudi,intelligent-systems-data
Roni Irnawan,intelligent-systems-data
Dzuhri Radityo Utomo,intelligent-systems-data
Syukron Abu Ishaq Alfarozi,intelligent-systems-data
Ahmad Ataka Awwalur Rizqi,iot-smartsystem-environtment
Naufal Hilmi Fauzan,intelligent-systems-data
Yohan Fajar Sidik,intelligent-systems-data
Ridwan Wicaksono,intelligent-systems-data
Rian Fatah Mochamad,iot-smartsystem-environtment
Wijaya Yudha Atmaja,networks-security-infrastructure
M. Aidiel Rachman Putra,intelligent-systems-data
