full_name,tag_slug
Sasongko Pramonohadi,artificial-intelligence
Sasongko Pramonohadi,deep-learning
Sasongko Pramonohadi,machine-learning
Sasongko Pramonohadi,automation
Sasongko Pramonohadi,iot
Sasongko Pramonohadi,data-mining
P. Insap Santosa,e-learning
P. Insap Santosa,ux
P. Insap Santosa,machine-learning
P. Insap Santosa,human-computer-interaction
P. Insap Santosa,deep-learning
P. Insap Santosa,ui
Wahyu Dewanto,iot
Wahyu Dewanto,computer-networks
Wahyu Dewanto,machine-learning
Wahyu Dewanto,data-mining
Wahyu Dewanto,computer-vision
Wahyu Dewanto,artificial-intelligence
Tumiran,machine-learning
Tumiran,immersive-technology
Tumiran,artificial-intelligence
Tumiran,deep-learning
Tumiran,e-learning
Tumiran,data-mining
Sujoko Sumaryono,iot
Sujoko Sumaryono,computer-networks
Sujoko Sumaryono,automation
Sujoko Sumaryono,machine-learning
Sujoko Sumaryono,nlp
Sujoko Sumaryono,cybersecurity
Bambang Sugiyantoro,deep-learning
Rudy Hartanto,deep-learning
Rudy Hartanto,machine-learning
Rudy Hartanto,human-computer-interaction
Rudy Hartanto,artificial-intelligence
Rudy Hartanto,iot
Rudy Hartanto,immersive-technology
Lukito Edi Nugroho,deep-learning
Lukito Edi Nugroho,machine-learning
Lukito Edi Nugroho,e-learning
Lukito Edi Nugroho,context-aware-computing
Lukito Edi Nugroho,database
Lukito Edi Nugroho,software-engineering
M. Isnaeni Bs,iot
M. Isnaeni Bs,deep-learning
M. Isnaeni Bs,computer-vision
Risanuri Hidayat,machine-learning
Risanuri Hidayat,deep-learning
Risanuri Hidayat,nlp
Risanuri Hidayat,computer-networks
Risanuri Hidayat,computer-vision
Risanuri Hidayat,iot
Oyas Wahyunggoro,artificial-intelligence
Oyas Wahyunggoro,automation
Oyas Wahyunggoro,machine-learning
Oyas Wahyunggoro,deep-learning
Oyas Wahyunggoro,computer-vision
Oyas Wahyunggoro,iot
Teguh Bharata Adji,machine-learning
Teguh Bharata Adji,deep-learning
Teguh Bharata Adji,nlp
Teguh Bharata Adji,database
