row_ref,full_name,academic_title,sinta_id,scopus_author_id,orcid_id,google_scholar_id,google_scholar_url,openalex_author_id,openalex_resolution_method,google_scholar_resolution_method,semantic_scholar_id,semantic_scholar_resolution_method
dosen_source.csv:2,Sasongko Pramonohadi,"Prof., Dr., Ir., DEA",6019394,53263983500,0000-0001-6268-9040,SXZZgLMAAAAJ,https://scholar.google.co.id/citations?user=SXZZgLMAAAAJ&hl=en,https://openalex.org/A5051659768,orcid,scholar_id,2227527734,name_search
dosen_source.csv:3,P. Insap Santosa,"Prof., Ir., M.Sc., Ph.D., IPU",6010192,9636895500,0000-0002-0581-2521,SVLRclcAAAAJ,https://scholar.google.co.id/citations?user=SVLRclcAAAAJ&hl=en,https://openalex.org/A5044371299,orcid,scholar_id,3136054,name_search
dosen_source.csv:4,Wahyu Dewanto,"Ir., M.T",6019805,57566905800,,yGMgmxIAAAAJ,https://scholar.google.com/citations?user=yGMgmxIAAAAJ&hl=en&oi=ao,https://openalex.org/A5110525796,name_search,error,69874736,name_search
dosen_source.csv:5,Tumiran,"Prof., Ir., M.Eng., Ph.D., IPU",6038838,24279155800,0000-0002-4063-3203,Q39ugpYAAAAJ,https://scholar.google.co.id/citations?user=Q39ugpYAAAAJ&hl=en,https://openalex.org/A5008865510,name_search,error,,error
dosen_source.csv:6,Sujoko Sumaryono,"Ir., M.T",6019192,57194161883,,lUiJUKEAAAAJ,https://scholar.google.com/citations?user=lUiJUKEAAAAJ&hl=en&oi=ao,https://openalex.org/A5064457713,name_search,error,2102929395,name_search
dosen_source.csv:7,Bambang Sugiyantoro,"Ir., M.T",6019224,57205058764,,lLWH6IcAAAAJ,https://scholar.google.com/citations?hl=en&user=lLWH6IcAAAAJ,https://openalex.org/A5021602423,name_search,error,51940829,name_search
dosen_source.csv:8,Rudy Hartanto,"Dr., Ir., M.T., IPM",6018498,57213689477,,xWZoltAAAAAJ,https://scholar.google.co.id/citations?user=xWZoltAAAAAJ&hl=en,https://openalex.org/A5003684636,name_search,error,145100453,name_search
dosen_source.csv:9,Lukito Edi Nugroho,"Prof., Ir., M.Sc., Ph.D",6019356,6507794445,,Fx312yQAAAAJ,https://scholar.google.co.id/citations?user=Fx312yQAAAAJ&hl=en,https://openalex.org/A5090606053,name_search,error,67037709,name_search
dosen_source.csv:10,M. Isnaeni Bs,"Dr., Ir., M.T",6019186,56516959400,,bbLyOsgAAAAJ,https://scholar.google.com/citations?hl=en&user=bbLyOsgAAAAJ,https://openalex.org/A5006102732,name_search,error,84269185,name_search
dosen_source.csv:11,Risanuri Hidayat,"Prof., Dr., Ir., M.Sc., IPM",6019191,24723916400,0000-0002-7381-4633,f4TOpqsAAAAJ,https://scholar.google.com/citations?hl=en&user=f4TOpqsAAAAJ,https://openalex.org/A5010571279,orcid,error,8523788,name_search
dosen_source.csv:12,Oyas Wahyunggoro,"Prof., Ir., M.T., Ph.D",6010292,25825877400,,HYFYmwsAAAAJ,https://scholar.google.co.id/citations?user=HYFYmwsAAAAJ&hl=en,https://openalex.org/A5000536091,name_search,error,2593642,name_search
dosen_source.csv:13,Teguh Bharata Adji,"S.T., M.T., M.Eng., Ph.D",5972729,24734043700,,IqG9z-8AAAAJ,https://scholar.google.com/citations?hl=en&user=IqG9z-8AAAAJ,https://openalex.org/A5085718292,name_search,error,2285380303,name_search
dosen_source.csv:14,Sri Suning Kusumawardani,"Prof., Dr., Ir., S.T., M.T",5985413,36809779800,0000-0003-1705-3232,D3VL7RsAAAAJ,https://scholar.google.com/citations?hl=en&user=D3VL7RsAAAAJ,https://openalex.org/A5079804283,orcid,error,2121922,name_search
dosen_source.csv:15,Silmi Fauziati,"Dr.Eng., S.T., M.T",6019179,56596753400,,YBpC3pwAAAAJ,https://scholar.google.com/citations?hl=en&user=YBpC3pwAAAAJ,https://openalex.org/A5108644292,name_search,error,,error
dosen_source.csv:16,Selo,"Prof., Ir., S.T., M.T., M.Sc., Ph.D., IPU, ASEAN Eng",6010111,35106220200,0000-0002-0427-6421,7FZZ_-sAAAAJ,https://scholar.google.co.id/citations?user=7FZZ_-sAAAAJ&hl=en,https://openalex.org/A5056307156,orcid,error,,error
